Date,^GSPC
1929-01-31,25.74
1929-02-28,25.59
1929-03-31,25.53
1929-04-30,25.94
1929-05-31,24.83
1929-06-30,27.41
1929-07-31,28.88
1929-08-31,31.71
1929-09-30,30.16
1929-10-31,24.15
1929-11-30,20.92
1929-12-31,21.45
1930-01-31,22.79
1930-02-28,23.28
1930-03-31,24.15
1930-04-30,24.9
1930-05-31,24.49
1930-06-30,20.46
1930-07-31,21.21
1930-08-31,21.37
1930-09-30,18.59
1930-10-31,16.94
1930-11-30,16.38
1930-12-31,15.34
1931-01-31,16.19
1931-02-28,18.03
1931-03-31,16.69
1931-04-30,15.09
1931-05-31,13.02
1931-06-30,14.83
1931-07-31,13.73
1931-08-31,13.86
1931-09-30,9.71
1931-10-31,10.43
1931-11-30,9.5
1931-12-31,8.12
1932-01-31,7.94
1932-02-29,8.29
1932-03-31,7.31
1932-04-30,5.83
1932-05-31,4.47
1932-06-30,4.43
1932-07-31,6.03
1932-08-31,8.39
1932-09-30,8.08
1932-10-31,6.96
1932-11-30,6.55
1932-12-31,6.92
1933-01-31,6.94
1933-02-28,5.66
1933-03-31,5.85
1933-04-30,7.83
1933-05-31,9.64
1933-06-30,10.91
1933-07-31,9.95
1933-08-31,11.09
1933-09-30,9.72
1933-10-31,8.96
1933-11-30,9.88
1933-12-31,9.97
1934-01-31,11.17
1934-02-28,10.76
1934-03-31,10.62
1934-04-30,10.46
1934-05-31,9.61
1934-06-30,9.81
1934-07-31,8.68
1934-08-31,9.15
1934-09-30,9.08
1934-10-31,8.81
1934-11-30,9.54
1934-12-31,9.5
1935-01-31,9.1
1935-02-28,8.74
1935-03-31,8.45
1935-04-30,9.28
1935-05-31,9.58
1935-06-30,10.24
1935-07-31,11.08
1935-08-31,11.24
1935-09-30,11.59
1935-10-31,12.46
1935-11-30,12.94
1935-12-31,13.43
1936-01-31,14.31
1936-02-29,14.6
1936-03-31,14.92
1936-04-30,13.77
1936-05-31,14.4
1936-06-30,14.84
1936-07-31,15.85
1936-08-31,15.99
1936-09-30,16.01
1936-10-31,17.23
1936-11-30,17.28
1936-12-31,17.18
1937-01-31,17.77
1937-02-28,18.06
1937-03-31,17.92
1937-04-30,16.43
1937-05-31,16.26
1937-06-30,15.4
1937-07-31,16.77
1937-08-31,16.04
1937-09-30,13.76
1937-10-31,12.35
1937-11-30,11.11
1937-12-31,10.55
1938-01-31,10.69
1938-02-28,11.34
1938-03-31,8.5
1938-04-30,9.78
1938-05-31,9.27
1938-06-30,11.56
1938-07-31,12.33
1938-08-31,12.06
1938-09-30,12.24
1938-10-31,13.17
1938-11-30,12.73
1938-12-31,13.14
1939-01-31,12.3
1939-02-28,12.7
1939-03-31,10.98
1939-04-30,10.93
1939-05-31,11.6
1939-06-30,10.86
1939-07-31,12.04
1939-08-31,11.18
1939-09-30,12.79
1939-10-31,12.83
1939-11-30,12.2
1939-12-31,12.46
1940-01-31,12.05
1940-02-29,12.13
1940-03-31,12.18
1940-04-30,12.19
1940-05-31,9.27
1940-06-30,9.98
1940-07-31,10.29
1940-08-31,10.5
1940-09-30,10.66
1940-10-31,11.08
1940-11-30,10.57
1940-12-31,10.58
1941-01-31,10.07
1941-02-28,9.92
1941-03-31,9.96
1941-04-30,9.31
1941-05-31,9.38
1941-06-30,9.85
1941-07-31,10.39
1941-08-31,10.28
1941-09-30,10.2
1941-10-31,9.5
1941-11-30,9.12
1941-12-31,8.69
1942-01-31,8.85
1942-02-28,8.59
1942-03-31,8.01
1942-04-30,7.66
1942-05-31,8.15
1942-06-30,8.3
1942-07-31,8.56
1942-08-31,8.62
1942-09-30,8.85
1942-10-31,9.36
1942-11-30,9.29
1942-12-31,9.77
1943-01-31,10.44
1943-02-28,10.97
1943-03-31,11.58
1943-04-30,11.59
1943-05-31,12.05
1943-06-30,12.35
1943-07-31,11.85
1943-08-31,11.8
1943-09-30,12.08
1943-10-31,11.91
1943-11-30,11.02
1943-12-31,11.67
1944-01-31,11.85
1944-02-29,11.82
1944-03-31,12.02
1944-04-30,11.87
1944-05-31,12.35
1944-06-30,12.98
1944-07-31,12.71
1944-08-31,12.82
1944-09-30,12.74
1944-10-31,12.78
1944-11-30,12.83
1944-12-31,13.28
1945-01-31,13.47
1945-02-28,14.3
1945-03-31,13.61
1945-04-30,14.84
1945-05-31,15.01
1945-06-30,14.87
1945-07-31,14.66
1945-08-31,15.51
1945-09-30,16.05
1945-10-31,16.65
1945-11-30,17.19
1945-12-31,17.36
1946-01-31,18.57
1946-02-28,17.28
1946-03-31,18.04
1946-04-30,18.76
1946-05-31,19.18
1946-06-30,18.43
1946-07-31,17.96
1946-08-31,16.65
1946-09-30,14.96
1946-10-31,14.84
1946-11-30,14.68
1946-12-31,15.3
1947-01-31,15.66
1947-02-28,15.43
1947-03-31,15.17
1947-04-30,14.58
1947-05-31,14.45
1947-06-30,15.21
1947-07-31,15.76
1947-08-31,15.32
1947-09-30,15.11
1947-10-31,15.43
1947-11-30,14.98
1947-12-31,15.3
1948-01-31,14.68
1948-02-29,13.93
1948-03-31,15.08
1948-04-30,15.48
1948-05-31,16.69
1948-06-30,16.74
1948-07-31,15.85
1948-08-31,15.97
1948-09-30,15.49
1948-10-31,16.5
1948-11-30,14.75
1948-12-31,15.2
1949-01-31,15.22
1949-02-28,14.62
1949-03-31,15.06
1949-04-30,14.71
1949-05-31,14.19
1949-06-30,14.16
1949-07-31,15.04
1949-08-31,15.22
1949-09-30,15.58
1949-10-31,16.04
1949-11-30,16.06
1949-12-31,16.79
1950-01-31,17.05
1950-02-28,17.22
1950-03-31,17.29
1950-04-30,17.96
1950-05-31,18.78
1950-06-30,17.69
1950-07-31,17.84
1950-08-31,18.42
1950-09-30,19.45
1950-10-31,19.53
1950-11-30,19.51
1950-12-31,20.43
1951-01-31,21.66
1951-02-28,21.8
1951-03-31,21.48
1951-04-30,22.43
1951-05-31,21.52
1951-06-30,20.96
1951-07-31,22.4
1951-08-31,23.28
1951-09-30,23.26
1951-10-31,22.94
1951-11-30,22.88
1951-12-31,23.77
