Date,Unemployment_Rate,^GSPC,^IXIC,^DJI,Interest_Rate,Inflation_Rate
1992-01-31,7.3,408.78,620.21,3223.4,4.03,2.6
1992-02-29,7.4,412.7,633.47,3267.7,4.06,2.8
1992-03-31,7.4,403.69,603.77,3235.5,3.98,3.2
1992-04-30,7.4,414.95,578.68,3359.1,3.73,3.2
1992-05-31,7.6,415.35,585.31,3396.9,3.82,3.0
1992-06-30,7.8,408.14,563.6,3318.5,3.76,3.1
1992-07-31,7.7,424.21,580.83,3393.8,3.25,3.2
1992-08-31,7.6,414.03,563.12,3257.4,3.3,3.1
1992-09-30,7.6,417.8,583.27,3271.7,3.22,3.0
1992-10-31,7.3,418.68,605.17,3226.3,3.1,3.2
1992-11-30,7.4,431.35,652.73,3305.2,3.09,3.0
1992-12-31,7.4,435.71,676.95,3301.11,2.92,2.9
1993-01-31,7.3,438.78,696.34,3310.0,3.02,3.3
1993-02-28,7.1,443.38,670.77,3370.81,3.03,3.2
1993-03-31,7.0,451.67,690.13,3435.11,3.07,3.1
1993-04-30,7.1,440.19,661.42,3427.55,2.96,3.2
1993-05-31,7.1,450.19,700.53,3527.43,3.0,3.2
1993-06-30,7.0,450.53,703.95,3516.08,3.04,3.0
1993-07-31,6.9,448.13,704.7,3539.47,3.06,2.8
1993-08-31,6.8,463.56,742.84,3651.25,3.03,2.8
1993-09-30,6.7,458.93,762.78,3555.12,3.09,2.7
1993-10-31,6.8,467.83,779.26,3680.59,2.99,2.8
1993-11-30,6.6,461.79,754.39,3683.95,3.02,2.7
1993-12-31,6.5,466.45,776.8,3754.09,2.96,2.7
1994-01-31,6.6,481.61,800.47,3978.36,3.05,2.5
1994-02-28,6.6,467.14,792.5,3832.02,3.25,2.5
1994-03-31,6.5,445.77,743.46,3635.96,3.34,2.5
1994-04-30,6.4,450.91,733.84,3681.69,3.56,2.4
1994-05-31,6.1,456.5,735.19,3758.37,4.01,2.3
1994-06-30,6.1,444.27,705.96,3624.96,4.25,2.5
1994-07-31,6.1,458.26,722.16,3764.5,4.26,2.8
1994-08-31,6.0,475.49,765.62,3913.42,4.47,2.9
1994-09-30,5.9,462.71,764.29,3843.19,4.73,3.0
1994-10-31,5.8,472.35,777.49,3908.12,4.76,2.6
1994-11-30,5.6,453.69,750.32,3739.23,5.29,2.7
1994-12-31,5.5,459.27,751.96,3834.44,5.45,2.7
1995-01-31,5.6,470.42,755.2,3843.86,5.53,2.8
1995-02-28,5.4,487.39,793.73,4011.05,5.92,2.9
1995-03-31,5.4,500.71,817.21,4157.69,5.98,2.9
1995-04-30,5.8,514.71,843.98,4321.27,6.05,3.1
1995-05-31,5.6,533.4,864.58,4465.14,6.01,3.2
1995-06-30,5.6,544.75,933.45,4556.1,6.0,3.0
1995-07-31,5.7,562.06,1001.21,4708.47,5.85,2.8
1995-08-31,5.7,561.88,1020.11,4610.56,5.74,2.6
1995-09-30,5.6,584.41,1043.54,4789.08,5.8,2.5
1995-10-31,5.5,581.5,1036.06,4755.48,5.76,2.8
1995-11-30,5.6,605.37,1059.2,5074.49,5.8,2.6
1995-12-31,5.6,615.93,1052.13,5117.12,5.6,2.5
1996-01-31,5.6,636.02,1059.79,5395.3,5.56,2.7
1996-02-29,5.5,640.43,1100.05,5485.62,5.22,2.7
1996-03-31,5.5,645.5,1101.4,5587.14,5.31,2.8
1996-04-30,5.6,654.17,1190.52,5569.08,5.22,2.9
1996-05-31,5.6,669.12,1243.43,5643.18,5.24,2.9
1996-06-30,5.3,670.63,1185.02,5654.63,5.27,2.8
1996-07-31,5.5,639.95,1080.59,5528.91,5.4,3.0
1996-08-31,5.1,651.99,1141.5,5616.21,5.22,2.9
1996-09-30,5.2,687.33,1226.92,5882.17,5.3,3.0
1996-10-31,5.2,705.27,1221.51,6029.38,5.24,3.0
1996-11-30,5.4,757.02,1292.61,6521.7,5.31,3.3
1996-12-31,5.4,740.74,1291.03,6448.27,5.29,3.3
1997-01-31,5.3,786.16,1379.85,6813.09,5.25,3.0
1997-02-28,5.2,790.82,1309.0,6877.74,5.19,3.0
1997-03-31,5.2,757.12,1221.7,6583.48,5.39,2.8
1997-04-30,5.1,801.34,1260.76,7009.0,5.51,2.5
1997-05-31,4.9,848.28,1400.32,7331.0,5.5,2.2
1997-06-30,5.0,885.14,1442.07,7672.8,5.56,2.3
1997-07-31,4.9,954.31,1593.81,8222.6,5.52,2.2
1997-08-31,4.8,899.47,1587.32,7622.4,5.54,2.2
1997-09-30,4.9,947.28,1685.69,7945.3,5.54,2.2
1997-10-31,4.7,914.62,1593.61,7442.1,5.5,2.1
1997-11-30,4.6,955.4,1600.55,7823.1,5.52,1.8
1997-12-31,4.7,970.43,1570.35,7908.3,5.5,1.7
1998-01-31,4.6,980.28,1619.36,7906.5,5.56,1.6
1998-02-28,4.6,1049.34,1770.51,8545.72,5.51,1.4
1998-03-31,4.7,1101.75,1835.68,8799.81,5.49,1.4
1998-04-30,4.3,1111.75,1868.41,9063.37,5.45,1.4
1998-05-31,4.4,1090.82,1778.87,8899.95,5.49,1.7
1998-06-30,4.5,1133.84,1894.74,8952.02,5.56,1.7
1998-07-31,4.5,1120.67,1872.39,8883.29,5.54,1.7
1998-08-31,4.5,957.28,1499.25,7539.07,5.55,1.6
1998-09-30,4.6,1017.01,1693.84,7842.62,5.51,1.5
1998-10-31,4.5,1098.67,1771.39,8592.1,5.07,1.5
1998-11-30,4.4,1163.63,1949.54,9116.55,4.83,1.5
1998-12-31,4.4,1229.23,2192.69,9181.43,4.68,1.6
1999-01-31,4.3,1279.64,2505.89,9358.83,4.63,1.7
1999-02-28,4.4,1238.33,2288.03,9306.58,4.76,1.6
1999-03-31,4.2,1286.37,2461.4,9786.16,4.81,1.7
1999-04-30,4.3,1335.18,2542.86,10789.04,4.74,2.3
1999-05-31,4.2,1301.84,2470.52,10559.74,4.74,2.1
1999-06-30,4.3,1372.71,2686.12,10970.8,4.76,2.0
1999-07-31,4.3,1328.72,2638.49,10655.15,4.99,2.1
1999-08-31,4.2,1320.41,2739.35,10829.28,5.07,2.3
1999-09-30,4.2,1282.71,2746.16,10336.95,5.22,2.6
1999-10-31,4.1,1362.93,2966.43,10729.86,5.2,2.6
1999-11-30,4.1,1388.91,3336.16,10877.81,5.42,2.6
1999-12-31,4.0,1469.25,4069.31,11497.12,5.3,2.7
2000-01-31,4.0,1394.46,3940.35,10940.53,5.45,2.7
2000-02-29,4.1,1366.42,4696.69,10128.31,5.73,3.2
2000-03-31,4.0,1498.58,4572.83,10921.92,5.85,3.8
2000-04-30,3.8,1452.43,3860.66,10733.91,6.02,3.1
2000-05-31,4.0,1420.6,3400.91,10522.33,6.27,3.2
2000-06-30,4.0,1454.6,3966.11,10447.89,6.53,3.7
2000-07-31,4.0,1430.83,3766.99,10521.98,6.54,3.7
2000-08-31,4.1,1517.68,4206.35,11215.1,6.5,3.4
2000-09-30,3.9,1436.51,3672.82,10650.92,6.52,3.5
2000-10-31,3.9,1429.4,3369.63,10971.14,6.51,3.4
2000-11-30,3.9,1314.95,2597.93,10414.49,6.51,3.4
2000-12-31,3.9,1320.28,2470.52,10787.99,6.4,3.4
2001-01-31,4.2,1366.01,2772.73,10887.36,5.98,3.7
2001-02-28,4.2,1239.94,2151.83,10495.28,5.49,3.5
2001-03-31,4.3,1160.33,1840.26,9878.78,5.31,2.9
2001-04-30,4.4,1249.46,2116.24,10734.97,4.8,3.3
2001-05-31,4.3,1255.82,2110.49,10911.94,4.21,3.6
2001-06-30,4.5,1224.38,2160.54,10502.4,3.97,3.2
2001-07-31,4.6,1211.23,2027.13,10522.81,3.77,2.7
2001-08-31,4.9,1133.58,1805.43,9949.75,3.65,2.7
2001-09-30,5.0,1040.94,1498.8,8847.56,3.07,2.6
2001-10-31,5.3,1059.78,1690.2,9075.14,2.49,2.1
2001-11-30,5.5,1139.45,1930.58,9851.56,2.09,1.9
2001-12-31,5.7,1148.08,1950.4,10021.57,1.82,1.6
2002-01-31,5.7,1130.2,1934.03,9920.0,1.73,1.1
2002-02-28,5.7,1106.73,1731.49,10106.13,1.74,1.1
2002-03-31,5.7,1147.39,1845.35,10403.94,1.73,1.5
2002-04-30,5.9,1076.92,1688.23,9946.22,1.75,1.6
2002-05-31,5.8,1067.14,1615.73,9925.25,1.75,1.2
2002-06-30,5.8,989.82,1463.21,9243.26,1.75,1.1
2002-07-31,5.8,911.62,1328.26,8736.59,1.73,1.5
2002-08-31,5.7,916.07,1314.85,8663.5,1.74,1.8
2002-09-30,5.7,815.28,1172.06,7591.93,1.75,1.5
2002-10-31,5.7,885.76,1329.75,8397.03,1.75,2.0
2002-11-30,5.9,936.31,1478.78,8896.09,1.34,2.2
2002-12-31,6.0,879.82,1335.51,8341.63,1.24,2.4
2003-01-31,5.8,855.7,1320.91,8053.81,1.24,2.6
2003-02-28,5.9,841.15,1337.52,7891.08,1.26,3.0
2003-03-31,5.9,848.18,1341.17,7992.13,1.25,3.0
2003-04-30,6.0,916.92,1464.31,8480.09,1.26,2.2
2003-05-31,6.1,963.59,1595.91,8850.26,1.26,2.1
2003-06-30,6.3,974.5,1622.8,8985.44,1.22,2.1
2003-07-31,6.2,990.31,1735.02,9233.8,1.01,2.1
2003-08-31,6.1,1008.01,1810.45,9415.82,1.03,2.2
2003-09-30,6.1,995.97,1786.94,9275.06,1.01,2.3
2003-10-31,6.0,1050.71,1932.21,9801.12,1.01,2.0
2003-11-30,5.8,1058.2,1960.26,9782.46,1.0,1.8
2003-12-31,5.7,1111.92,2003.37,10453.92,0.98,1.9
2004-01-31,5.7,1131.13,2066.15,10488.07,1.0,1.9
2004-02-29,5.6,1144.94,2029.82,10583.92,1.01,1.7
2004-03-31,5.8,1126.21,1994.22,10357.7,1.0,1.7
2004-04-30,5.6,1107.3,1920.15,10225.57,1.0,2.3
2004-05-31,5.6,1120.68,1986.74,10188.45,1.0,3.1
2004-06-30,5.6,1140.84,2047.79,10435.48,1.03,3.3
2004-07-31,5.5,1101.72,1887.36,10139.71,1.26,3.0
2004-08-31,5.4,1104.24,1838.1,10173.92,1.43,2.7
2004-09-30,5.4,1114.58,1896.84,10080.27,1.61,2.5
2004-10-31,5.5,1130.2,1974.99,10027.47,1.76,3.2
2004-11-30,5.4,1173.82,2096.81,10428.02,1.93,3.5
2004-12-31,5.4,1211.92,2175.44,10783.01,2.16,3.3
2005-01-31,5.3,1181.27,2062.41,10489.94,2.28,3.0
2005-02-28,5.4,1203.6,2051.72,10766.23,2.5,3.0
2005-03-31,5.2,1180.59,1999.23,10503.76,2.63,3.1
2005-04-30,5.2,1156.85,1921.65,10192.51,2.79,3.5
2005-05-31,5.1,1191.5,2068.22,10467.48,3.0,2.8
2005-06-30,5.0,1191.33,2056.96,10274.97,3.04,2.5
2005-07-31,5.0,1234.18,2184.83,10640.91,3.26,3.2
2005-08-31,4.9,1220.33,2152.09,10481.6,3.5,3.6
